Línea;Interestación.1.1;Columna2;Longitud de interestación (metros)
1;Pantitlán;Zaragoza;1.32
1;Zaragoza;Gómez Farías  ;762
1;Gómez Farías  ;Boulevard Puerto Aéreo;611
1;Boulevard Puerto Aéreo; Balbuena;595
1;Balbuena ; Moctezuma;703
1;Moctezuma; San Lázaro;478
1;San Lázaro ; Candelaria;866
1;Candelaria ; Merced;698
1;Merced; Pino Suárez;745
1;Pino Suárez ; Isabel la Católica;382
1;Isabel la Católica ; Salto del Agua;445
1;Salto del Agua ; Balderas;458
1;Balderas ; Cuauhtémoc;409
1;Cuauhtémoc ; Insurgentes;793
1;Insurgentes ; Sevilla;645
1;Sevilla ; Chapultepec;501
1;Chapultepec ; Juanacatlán;973
1;Juanacatlán ; Tacubaya;1.158
1;Tacubaya ; Observatorio;1.262
1;TOTALES;0;13.804
2;Cuatro Caminos ; Panteones;1.639
2;Panteones ; Tacuba;1.416
2;Tacuba ; Cuitláhuac;637
2;Cuitláhuac ; Popotla;620
2;Popotla ; Colegio Militar;462
2;Colegio Militar ; Normal;516
2;Normal; San Cosme;657
2;San Cosme ; Revolución;537
2;Revolución ; Hidalgo;587
2;Hidalgo ; Bellas Artes;447
2;Bellas Artes ; Allende;387
2;Allende ; Zócalo;602
2;Zócalo ; Pino Suárez;745
2;Pino Suárez ; San Antonio Abad;817
2;San Antonio Abad ; Chabacano;642
2;Chabacano ; Viaducto;774
2;Viaducto ; Xola;490
2;Xola ; Villa de Cortés;698
2;Villa de Cortés ; Nativitas;750
2;Nativitas ; Portales;924
2;Portales ; Ermita;748
2;Ermita; General Anaya;838
2;General Anaya ; Tasqueña;1.33
2;TOTALES;0;172.636
3;Indios Verdes ; Deportivo 18 de Marzo;1.166
3;Deportivo 18 de Marzo; Potrero;966
3;Potrero ; La Raza;1.106
3;La Raza ; Tlatelolco;1.445
3;Tlatelolco ; Guerrero;1.042
3;Guerrero ; Hidalgo;702
3;Hidalgo ; Juárez;251
3;Juárez ; Balderas;659
3;Balderas ; Niños Héroes;665
3;Niños Héroes ;  Hospital General;559
3;Hospital General ; Centro Médico;653
3;Centro Médico ; Etiopía/Plaza de la Transparencia;1.119
3;Etiopía/Plaza de la Transparencia ; Eugenia;950
3;Eugenia ; División del norte;715
3;División del Norte ; Zapata;794
3;Zapata- Coyoacán;0;1.153
3;Coyoacán ; Viveros/Derechos Humanos;908
3;Viveros/Derechos Humanos ; Miguel Ángel de Quevedo;824
3;Miguel Ángel de Quevedo; Copilco;1.295
3;Copilco ; Universidad;1.306
3;TOTALES;0;18.278
4;Santa Anita ; Jamaica;758
4;Jamaica ; Fray Servando;1.033
4;Fray Servando ; Candelaria;633
4;Candelaria ; Morelos;1.062
4;Morelos ; Canal del Norte;910
4;Canal del Norte ; Consulado;884
4;Consulado ; Bondojito;645
4;Bondojito ; Talismán;959
4;Talismán ; Martín Carrera;1.129
4;TOTALES;0;8.013
5;Politécnico ; Instituto del Petróleo;1.188
5;Instituto del Petróleo ; Autobuses del Norte;1.067
5;Autobuses del Norte ; La Raza;975
5;La Raza ;Misterios;892
5;Misterios ; Valle Gómez;969
5;Valle Gómez ; Consulado;679
5;Consulado ; Eduardo Molina;815
5;Eduardo Molina ; Aragón;860
5;Aragón ; Oceanía;1.219
5;Oceanía ;Terminal Aérea;1.174
5;Terminal Aérea ; Hangares;1.153
5;Hangares  - Pantitlán;0;1.644
5;TOTALES;0;12.635
6;El Rosario ; Tezozómoc;1.257
6;Tezozómoc ; Azcapotzalco;973
6;Azcapotzalco ; Ferrería;1.173
6;Ferrería ; Norte 45;1.072
6;Norte 45 ; Vallejo;660
6;Vallejo ; Instituto del Petróleo;755
6;Instituto del Petróleo ; Lindavista;1.258
6;Lindavista ; Deportivo 18 de Marzo;1.075
6;Deportivo 18 de Marzo ; La Villa ;570
6;La Villa ; Basílica ;1.141
6;TOTALES;0;9.934
7;El Rosario ; Aquíles Serdán;1.615
7;Aquíles Serdán ; Camarones;1.402
7;Camarones ; Refinería;952
7;Refinería ; Tacuba;1.295
7;Tacuba ; San Joaquín;1.433
7;San Joaquín ; Polanco;1.163
7;Polanco ; Auditorio;812
7;Auditorio ; Constituyentes;1.43
7;Constituyentes ; Tacubaya;1.005
7;Tacubaya ; San Pedro de los Pinos;1.084
7;San Pedro de los Pinos ; San Antonio;606
7;San Antonio ; Mixcoac;788
7;Mixcoac ; Barranca del Muerto;1.476
7;TOTALES;0;15.061
8;Garibaldi ; Bellas Artes;634
8;Bellas Artes ; San Juan de Letrán;456
8;San Juan de Letrán ; Salto del Agua;292
8;Salto del Agua ; Doctores;564
8;Doctores ; Obrera;761
8;Obrera ; Chabacano;1.143
8;Chabacano ; La Viga;843
8;La Viga ; Santa Anita;633
8;Santa Anita ; Coyuya;968
8;Coyuya  - Iztacalco;0;993
8;Iztacalco ; Apatlaco;910
8;Apatlaco ; Aculco;534
8;Aculco  - Escuadrón 201;0;789
8;Escuadrón 201 ; Atlalilco;1.738
8;Atlalilco ; Iztapalapa;732
8;Iztapalapa ; Cerro de la Estrella;717
8;Cerro de la Estrella ; UAM I;1.135
8;UAM I ; Constitución de 1917;1.137
8;TOTALES;0;14.979
9;Pantitlán ; Puebla;1.38
9;Puebla ; Ciudad Deportiva;800
9;Ciudad Deportiva ; Velódromo;1.11
9;Velódromo ; Mixiuhca;821
9;Mixiuhca ; Jamaica;942
9;Jamaica ; Chabacano;1.031
9;Chabacano ; Lázaro Cardenas;1
9;Lázaro Cardenas ; Centro Médico;1.059
9;Centro Médico ; Chilpancingo;1.152
9;Chilpancingo ; Patriotismo;955
9;Patriotismo ; Tacubaya;1.133
9;TOTALES;0;11.383
A;Pantitlán ; Agrícola Oriental;1.409
A;Agrícola Oriental ; Canal de San Juan;1.093
A;Canal de San Juan ; Tepalcates;1.456
A;Tepalcates ; Guelatao;1.161
A;Guelatao ; Peñón Viejo;2.206
A;Peñón Viejo ; Acatitla;1.379
A;Acatitla  - Santa Marta;0;1.1
A;Santa Marta ; Los Reyes;1.783
A;Los Reyes ; La Paz;1.956
A;TOTALES;0;13.543
B;Ciudad Azteca ; Plaza Aragón;574
B;Plaza Aragón ; Olímpica;709
B;Olímpica ; Ecatepec;596
B;Ecatepec; Múzquiz;1.485
B;Múzquiz ; Río de los Remedios;1.155
B;Río de los Remedios ; Impulsora;436
B;Impulsora ; Nezahualcóyotl;1.393
B;Nezahualcóyotl ; Villa de Aragón;1.335
B;Villa de Aragón ; Bosques de Aragón;784
B;Bosques de Aragón ; Deportivo Oceanía;1.165
B;Deportivo Oceanía;  Oceanía;863
B;Oceanía ; Romero Rubio;809
B;Romero Rubio ; Ricardo Flores Magón;908
B;Ricardo Flores Magón ; San Lázaro;907
B;San Lázaro ; Morelos;1.296
B;Morelos ; Tepito;498
B;Tepito ; Lagunilla;611
B;Lagunilla; Garibaldi;474
B;Garibaldi; Guerrero;757
B;Guerrero; Buenavista;521
B;TOTALES;0;17.276
12;Tláhuac; Tlaltenco;1.298
12;Tlaltenco; Zapotitlán;1.115
12;Zapotitlán; Nopalera;1.276
12;Nopalera; Olivos;1.36
12;Olivos; Tezonco;490
12;Tezonco; Periférico Oriente;1.545
12;Periférico Oriente; Calle 11;1.111
12;Calle 11; Lomas Estrella;906
12;Lomas Estrella; San Andrés Tomatlán;1.06
12;San Andrés Tomatlán; Culhuacán;990
12;Culhuacán; Atlalilco;1.671
12;Atlalilco ; Mexicaltzingo;1.922
12;Mexicaltzingo; Ermita;1.805
12;Ermita; Eje Central;895
12;Eje Central; Parque de los Venados;1.28
12;Parque de los Venados; Zapata;563
12;Zapata; Hospital 20 de Noviembre;450
12;Hospital 20 de Noviembre; Insurgentes Sur;725
12;Insurgentes Sur; Mixcoac;651
12;TOTALES;;21.113
